,Generation,label
14,"

As Hong Kong enters its 30th year of self-governance, the recent protests have highlighted the challenges â€” and perils â€” of using civil disobedience to assert political voices in a territory with a history of repressive autocratic rule.

There is little question that the unrest in Hong Kong has criminalized a generation of young activists. The protests have seen demonstrators occupying major intersections and blocking streets with cranes and cars in a bid to bring the territory to a standstill.

The protesters have also lobbed petrol bombs and other projectiles at law enforcement officers, with at least one police officer reported to have been injured.

Some of the more extreme elements of the protest movement have adopted a violent and lawless strategy, posing a serious threat to the territorial integrity of Hong Kong and potentially eroding public confidence in the rule of law.

The protests began in September 2014 as a pro-democracy movement but have since evolved into a wider display of discontent with the territoryâ€™s political and economic landscape.

The protests are a direct result of a policy decision made by the then-Hong Kong Chief Executive, Leung Chun-ying, in 2013 to allow a fully democratic vote for the next leader of the territory.

Critics of the decision argued that the vote would give undue power to the Beijing government and undermine the autonomy of the territory. They said that the decision would pave the way for the eventual return of Beijingâ€™s authoritarian rule.

The protests initially focused on calling for the return of the â€œone country, two systemsâ€ policy framework that had been in place prior to the transfer of sovereignty from the British to the Beijing regime in 1997.

But the protesters quickly expanded their scope to include a wide range of grievances, including corruption and the lack of democratic rights in the territory.

The protests have also put the rule of law in Hong Kong under pressure.

The protests have raised concerns about the ability of the police to deploy crowd control measures and the implications of the use of force by law enforcement officers.

And they have also raised questions about the decision of the Hong Kong authorities to allow the protesters to remain on the streets indefinitely.

The protests have also cast a spotlight on the squabbling and division within the pro-democracy camp.

Some of the more radical elements of the movement have adopted a confrontational and lawless strategy, posing a serious threat to the territorial integrity of Hong Kong",gpt3
15,"

Hong Kong celebrated Christmas this year amid demonstrations and tear gas. Protests against a proposed extradition law have been ongoing for weeks, but the mood turned noticeably more tense on the night of December 24.

According to the South China Morning Post, police used tear gas and pepper spray to disperse a group of several hundred demonstrators who had gathered in Wan Chai, a working-class district on the east side of the city. The Post also reported that at least ten people were injured, including four police officers.

Two days later, protesters returned to the streets in the evening, despite an announced ban on public gatherings. By nightfall, police had used pepper spray and tear gas to disperse the protesters, resulting in at least eighteen injuries and one arrest.

The violent turn of events has cast a shadow over Christmas in Hong Kong, a city that is traditionally known for its festive spirit. Businesses have reported that profits have taken a hit, and some residents have expressed concern about the lasting effects of the demonstrations.",gpt3
16,"

The Chennai arts district is a proposed district in the city of Chennai, Tamil Nadu, India that would be dedicated to the arts. The district would be located in the central area of the city and would have a population of around 1.5 million. The arts district would be home to theaters, galleries, music venues, and art schools. The district would aim to promote Chennai's cultural heritage and make the city more vibrant and appealing to tourists.

The district was proposed by the Chennai Corporation in 2018. There has been criticism of the district, mainly from within the city of Chennai, due to its perceived elitism. The district has been compared to the New York art scene.",gpt3
17,"

Christian Louboutin first started designing shoes in his parents' garage in east Paris in the early 1980s. But it wasn't until he took a trip to Thailand in 1991 that he truly began to hone his craft.

""When I was in Thailand, I realized that what I was doing was different,"" Louboutin told AFP in an interview. ""I wanted to create shoes that were different, that were extraordinary.""

Louboutin's shoes quickly became a sensation in Bangkok and other Southeast Asian cities. Inspired by but never beholden to reality, Louboutin's shoes were a stark contrast to the traditional pumps and loafers gown women wore in those days.

""The shoe became an accessory, a symbol of a certain kind of femme fatale,"" said fashion designer Clare Waight Keller, who has collaborated with Louboutin on several collections. ""It was the naughty girl's shoe.""

Louboutin quickly expanded his business to other parts of the world, starting with the United States in 1992. But it was only in 1998 that he truly hit big, when he launched his first line of footwear in the UK.

Today, Louboutin shoes are sold in more than 100 countries, making him one of the world's most successful designers. In fact, his high-end, luxury shoes now outsell those of all other designers put together.

""What I love most about my work is that it's so creative and inspiring,"" Louboutin said. ""It allows me to travel the world and meet all kinds of people. It's like a never-ending dream.""",gpt3
18,", these are 10 of the most fascinating and iconic structures in India.

1. Taj Mahal

This mausoleum and tomb of Mughal Emperor Shah Jahan is considered one of the most iconic and beautiful buildings in India. Completed in 1653, it is a UNESCO World Heritage Site and one of the Seven Wonders of the World.

2. Red Fort

This UNESCO World Heritage Site is one of the most iconic structures in India and was built in the 17th century to protect the city of Delhi from invaders. The fort is now a popular tourist destination.

3. Qutb Minar

This imposing tower was built in 1192 by Muslim conqueror Qutb-ud-din Aybak and is considered one of the most famous monuments in India. The tower is symbol of Muslim domination over India and is a popular tourist destination.

4. The Taj Mahal

This monument is one of the most famous and iconic buildings in India and was built by Mughal Emperor Shah Jahan in memory of his wife, Mumtaz Mahal. The Taj Mahal is a UNESCO World Heritage Site and one of the Seven Wonders of the World.

5. Palace of the Kings

This palace complex is located in Udaipur and was built in the late 18th century by Maharaja Sawai Jai Singh. The palace is a popular tourist destination and is home to several museums.

6. Amaravati

Amaravati is a city in Andhra Pradesh and is the proposed capital of India. The city is scheduled to be completed by 2019 and will be home to several government buildings and a landmark airport.

7. Kashi Vishwanath

This temple is one of the most famous religious sites in India and is located in Varanasi. The temple is dedicated to the Hindu god Vishwanath and is considered one of the most important pilgrimage destinations in India.

8. Jantar Mantar

This observatory was built by Maharaja Jai Singh in 1728 and is located in Jaipur. The observatory is popular for its architecture and is one of the most important tourist destinations in India.

9. The Gateway of India

This monument was built to commemorate the arrival of British Rule in India and is located in Mumbai. The Gateway of India is a popular tourist destination and is one of",gpt3
19,"

Countries that have travel bans imposed against them are: Saudi Arabia, Qatar, The United Arab Emirates, Bahrain, Kuwait and Oman.",gpt3
20,"



A summit climbing season at Mount Everest has been cancelled, after widespread concerns over the coronavirus.

The decision to cancel the season comes after a number of deaths in the Nepalese climbing community, with officials warning that the virus could spread rapidly and be deadly.

""The health and safety of our mountaineering community is our top priority,"" said expedition leader Dan Mazur.

""After careful consideration we have made the difficult decision to cancel our 2017 Everest season.""

The decision was met with relief by the Nepalese authorities, who had been warning of the dangers of staging a summit attempt this year.

""We are very happy with this decision as the safety of our climbers is always our main concern,"" said Nepalese Tourism Minister Maheshwarnath Lamsa.

""There is still a risk of the virus spreading and we want to do everything possible to prevent any fatalities.""

Mount Everest is usually visited every year by scores of climbers, drawn by its legendary status as the highest point on Earth.",gpt3
21,"

It is not clear what exactly society ""shutting down"" means, but if it refers to a general societal decline in the quality of life, then the answer would likely be no. On the other hand, if it refers to a more specific event such as a natural disaster, then it is more likely that Tokyo 2020 would still go ahead.",gpt3
22,"

Inter Milan president Steven Zhang is confident the Serie A season will be completed despite coronavirus concerns.

Zhang told reporters on Friday that ""as long as we are careful about hygiene and follow the safety protocols, we are sure that the season will be completed.""

Zhang added that the Serie A fixture list is still being finalized and that all clubs will play each other once.

The Serie A season has been halted twice this season due to coronavirus concerns.",gpt3
23,"

The threat of a coronavirus pandemic to Tokyo 2020 is ""heartbreaking,"" surfer Kanoa Igarashi said Friday.

""It's something that we all have to be very vigilant about,"" said Igarashi, 26, who will compete in the World Surf League's (WSL) women's event in November.

""Hopefully we'll be able to keep the virus from spreading, but if it does, it's something that could really mess with our plans.""

Igarashi is one of the stars of the sport, having won a world title in 2016.

Sixteen of the top surfing spots in the world will be in Tokyo in November during the event, which is also a qualifier for the Tokyo 2020 Olympic Games.

Tokyo's governor, Yuriko Koike, has urged people to avoid close contact with people who are sick, and to report any suspected cases to authorities.

The WSL said there is no evidence of any athlete being affected by the virus.

Cases of the coronavirus, a highly contagious virus that can cause severe respiratory illness, have been reported in Saudi Arabia, Qatar, the United Arab Emirates, Bahrain, Kuwait, Oman, and Jordan.

Authorities have warned that the virus is thought to be more lethal in adults and could spread easily through close contact such as kissing, coughing and sneezing.

The World Health Organization (WHO) has said the coronavirus is a ""serious global threat"" and that more than 1,000 people have died from it since 2014.",gpt3
24,":

As of September 24th, the US Centers for Disease Control and Prevention (CDC) reported 106 cases of coronavirus, including 37 deaths.

California (24 cases, 10 deaths) is the most affected state, followed by Texas (15 cases, eight deaths), Tennessee (12 cases, four deaths), Illinois (10 cases, three deaths), and Colorado (eight cases, two deaths).

No cases have been reported in New York, Florida, or New Jersey.",gpt3
25,"

Coronavirus is a virus that primarily affects the respiratory system, including the nose, throat, and lungs. When contracted from an infected person, coronavirus can cause a number of serious health problems, including pneumonia, bronchitis, and even death.

Since college campuses are often populated by young, healthy people, coronavirus is particularly likely to cause significant health problems and death among students and staff. In addition, college campuses are often hubs of social activity, making it more likely that contagious people will spread the virus to others.

Given the potential for serious health problems and even death, it is important for colleges and universities to take steps to protect their students and staff from coronavirus. For example, colleges and universities may encourage students and staff to get vaccinated against coronavirus, and may offer screening and treatment opportunities for those who are infected.",gpt3
26,"

A diplomat at the UN has tested positive for the coronavirus, the UN health agency said on Tuesday.

The diplomat, who is not yet identified, is believed to have contracted the virus from a person who is now recovering, the UN health agency said.

There is no evidence that the virus is spreading globally, and no risk to the public, the agency added.

The diplomat has been isolated and is being treated with external support, the agency said.

The UN is not the only organisation to have a diplomat infected with the virus.

In September, a Spanish diplomat who was working for the World Health Organization (WHO) in Yemen died of the virus.",gpt3
27,"

Since the outbreak of the coronavirus in March 2014, Singapore has been one of the front-runners in the global response to the virus. Their approach is based on a number of key principles, including:

1. Working closely with partners â€“ Singapore has been working closely with global health organisations and other partners to share information and best practices.

2. Moving quickly to deploy diagnostic tests and treatments â€“ Singapore has been quick to deploy diagnostic tests and treatments, and has also made provisions for temporary housing and health care facilities for those who have been infected.

3. Taking a multi-faceted approach â€“ Singapore is taking a multi-faceted approach to containing the virus, including working to prevent its spread, providing support to those affected, and building resiliency.

4. Continuing to learn and innovate â€“ Singapore is constantly looking for ways to improve its response to the virus, including through research and development of new technologies and approaches.

5. Sticking to the principle of harm reduction â€“ In the absence of a cure for the virus, Singapore is emphasising the importance of promoting and implementing harm reduction measures, including safe food and water supplies, safe transportation, and safe health care facilities.",gpt3
28," about Brexit

The disease expert who warned us about Brexit was Sir Hugh Orr. He is a retired medical doctor and epidemiologist who has worked in the health sector for more than four decades. In a speech given in January 2017, Sir Hugh warned about the potential health implications of Brexit. He said that if the UK leaves the European Union, it could lead to a rise in health problems due to a drop in migrant workers from Europe. He warned that this could lead to an increase in diseases such as tuberculosis, malaria and measles, as well as an increase in health-care costs.",gpt3
29,"

Oxfam America's ambassador to the United Nations, Angelina Jolie, urges the world to mobilize to address the needs of Afghan women and girls in the face of decades of violence and neglect.",gpt3
30,"

- Trump trade war fallout: The Dow falls more than 1,600 points

- Amazon announces plans to build a new headquarters in New York City

- AT&T is getting rid of two streaming services",gpt3
31,"

1. Wells Fargo fined $185 million for opening fake accounts

2. Facebook to launch $5 monthly subscription for newsfeed

3. Uber suspends self-driving trials after collision in Arizona",gpt3
32,"

- Walmart raises minimum wage to $11 an hour

- Nike plans to invest $5 billion in factories around the world

- Snap Inc. reports losses

- Uber suspends self-driving testing in Pittsburgh",gpt3
33," fixtures:

England v Russia

Australia v New Zealand

France v Argentina

Ireland v South Africa

 Italy v Scotland",gpt3
34,"

1. The Day After Tomorrow
2. Contagion
3. The Andromeda Strain
4. 28 Days Later
5. War of the Worlds",gpt3
35,"

In a statement following the diagnosis of the actor's pneumonia on Wednesday, Bloom's representative said:

""Orlando is continuing to better and is looking forward to returning home soon.""",gpt3
36,"

After being diagnosed with the coronavirus, actors Tom Hanks and Rita Wilson have both released statement updating their families and fans on their health.",gpt3
37,"

""I fucking love action movies,"" Vin Diesel declares as he walks into the set of ""Bloodshot."" ""They're my favorite.""

This may come as a surprise to some, considering Diesel's long-standing reputation for playing hardcore genre characters such as the Reaver in ""The Fast and the Furious"" and Riddick in ""Riddick.""

But behind the rough exterior is a guy who loves the simple pleasures in life - namely, a good action movie.

""I remember the first time I saw 'Die Hard,'"" he recalls. ""It was incredible ... It was like an out-of-body experience.""

In ""Bloodshot,"" Diesel reprises his role as the title character, a cyborg who's been rebuilt as the ultimate soldier. The film tells the story of his origin, his battles against the bad guys, and his quest to find redemption.

""I think people are going to be really surprised by how emotional the movie is,"" Diesel says. ""It's not just a bunch of action. It's a really human story.""

The origin story of Bloodshot is very much in the mold of classic superhero tales - that is, it's not your typical cookie-cutter story.

""It starts out fairly typical,"" Diesel says. ""He's this badass killing machine. But then something happens that changes him, and he starts to question things. He starts to question his purpose. He starts to question his relationship with the people around him.""

This questioning leads to Bloodshot's transformation into a superhero, and the movie follows his adventures as he fights against the bad guys and tries to find his place in the world.

""I think a lot of people can relate to that,"" Diesel says. ""We all have those moments where we question our place in the world. We all have those doubts. And sometimes we need someone to come help us find our way.""

Ultimately, ""Bloodshot"" is a story about forging one's own path in life, and Diesel believes that audiences will respond to this message.

""They're going to be really inspired by it,"" he says. ""I think they're going to be really excited by it.""

""Bloodshot"" opens in theaters on February 17.",gpt3
38,"

Los Angeles, CA â€“ September 5, 2009: Ne-Yo and Rick Ross team up to announce that rapper/producer Jay Electronica has finally released his debut album. The album, entitled ""Exhibit C"" is due out on September 17th.

In a joint statement, the two artists said: ""We've been looking for a rapper to represent our brand for years and we're excited that Jay Electronica is finally ready to step up and deliver. His lyrics are sharp and his music is full of energy, making him one of the most promising young talents in music today. We can't wait for people to hear what he's got.""

The album's first single, ""Exhibit C (The Case of the Silver Skillet),"" was released online earlier this year and has already gained notoriety for its controversial video. The song is a hard-hitting indictment of the U.S. government, with Jay Electronica spitting lines like, ""I'm tryna tell the story of a case that's red/but they won't let me play the evidence in court/cos they say it's inflammatory.""

In May, it was announced that Jay Electronica would be headlining the 2009 Coachella Valley Music and Arts Festival. Tickets for the event are on sale now.",gpt3
39,"

The release of A Quiet Place II has been delayed due to the coronavirus.",gpt3
40,"

Madison Prewett and Peter Weber have ended their relationship after the pair's dramatic finale on 'The Bachelor.'",gpt3
41,"

Pete Davidson stars in Big Time Adolescence, a new Netflix comedy about a teenager (Davidson) who is trying to figure out who he is and what he wants in life. The film is written, produced and directed by Paul Weitz, who also directed the films About a Boy and The Good Girl.

Davidson doesn't exactly show a lot of range in the role. He plays the angsty, lovable high schooler perfectly, but doesn't offer much else. His character is often left speechless, and his natural charisma is not used to its fullest potential. Davidson's best moments come when he's interacting with other actors in the film, and he shines in a small but memorable role as a gay friend.

Big Time Adolescence is not a groundbreaking or ground-breaking film, but it's fun and enjoyable. Davidson is a likable and endearing actor, and his chemistry with the other cast members is a major plus. If you're a fan of Netflix comedy, Big Time Adolescence is worth a watch.",gpt3
42,"

Serena Williams is scheduled to spend the next six weeks in solitude after she announced her pregnancy in early September. Williams plans to travel only for tournaments and will not attend any other events.",gpt3
43,"

Gloria Gaynor is one of the most successful singers in history, with dozens of hits to her name.

In the 1970s, Gaynor became known for her hit song 'I Will Survive,' which she performed in a defiant and empowered manner.

Now, Gaynor is using the song to help fight the coronavirus, which has killed thousands of people around the world.

'I Will Survive' was released in 1978 and became an anthem for the LGBT community and survivors of abuse.

Gaynor is encouraging people to listen to the song, sing it aloud, and share the lyrics with others to help fight the virus.

""I will Survive. Thanks for asking. I will Survive.
This too shall pass.
I will rise again.
Be strong.
Be kind.
I will survive.
I will thrive.
Do the right thing.
And know that I will survive,"" Gaynor said in a statement.

Gaynor's performance of the song at a rally in support of the LGBTQ community in New York last week was seen as a powerful statement of defiance against the virus.",gpt3
44,"

Riverdaleâ€™s fourth season has been halted after one of the showâ€™s actors became sick with the coronavirus.",gpt3
45,"

â€œI have moved on from the Kobe Bryant situation. Itâ€™s something I wish he would have done himself,â€ Gayle King told Oprah Winfrey.",gpt3
46," about their relationship

The Oscar-winning actors Tom Hanks and Rita Wilson are a married couple who have been together for over 20 years. They met while working on the television series ""Philadelphia"".

The two were married in a private ceremony in San Francisco in 1998. They have two children together, son Hank (born in 2001) and daughter Lily (born in 2003).

After working on a number of other projects, the two returned to television in 2006 in the series ""The New Adventures of Old Christine"". They have since starred in a number of other successful TV programmes, including ""A League of Their Own"" (1992), ""The Green Mile"" (1999), ""You Don't Know Jack"" (2004), and ""The Wall"" (2008).

In 2013, the two starred in ""The Help"" and were nominated for the Academy Award for Best Actor.",gpt3
47,"

Rachel Weisz recalls Weinstein's 'unforgettable' Hollywood handshake

Rose McGowan lashes out at Hollywood sex abuse cover-up",gpt3
48,"

 Comedian Jerry Seinfeld has postponed two sold-out shows in New York City due to ""a personal health issue.""",gpt3
49,"

The family of Tom Hanks and Rita Wilson have released a statement following the couple's diagnosis with the coronavirus.",gpt3
50,"

2018 has already been a great year for R&B and soul music, and things are only going to heat up in the coming months. Earlier this week, we got the release of Lianne La Havas' new album, highlighted by the single ""Unstoppable."" Now, we have another pop superstar dueting with a soul singer on a brand new track.

Linkin Park's Mike Shinoda and Rick Ross team up for the funky new song ""Don't Slack,"" which features rap superstar Anderson .Paak. The collaboration is a testament to the growing R&B and soul music scene, as both singers are well-known for their rock and rap credentials.

Listen to the track below, and be sure to check out Lianne La Havas' new album when it officially releases on April 13th.",gpt3
51," concerns

""The View"" and more outlets have suspended studio audiences over coronavirus concerns.

Officials said they made the decision after reviewing the latest information on the virus.

Coronavirus is a respiratory illness that can cause severe pneumonia. Symptoms include fever, coughing, and difficulty breathing. It is believed to be spread through coughing and sneezing.

There has been a recent increase in the number of cases in the UK and Europe.",gpt3
52,"

In the early 2000s, exploitation filmmakers began to experiment with political thriller plots. â€œThe Hunt,â€ from screenwriter and director David Lowery, is one such film.

â€œThe Huntâ€ takes its cues from â€œThe Girl with the Dragon Tattoo,â€ but swaps the kidnapping of a wealthy individual for the hunt of a political figure. Itâ€™s a strategy that exploits the partisan divide in America, given the current political climate.

The opening scene of â€œThe Huntâ€ sets the tone. A group of men kidnap a young girl and chain her to a tree. The victim is Clare (Rebecca Ferguson), a political candidate running for office against the incumbent.

Clare doesnâ€™t know who her captors are or what their motive is, but she knows theyâ€™re up to something. She spends the remainder of the film trying to figure out what that something is.

Loweryâ€™s film is shot with a handheld camera and features a minimalist aesthetic. The camera often cuts to close-ups of Clareâ€™s face as she wrestles with her dilemma.

Lowery doesnâ€™t shy away from violence, either. The film features several bloody scenes, including one in which Clareâ€™s kidnappers stab her in the neck.

â€œThe Huntâ€ is an entertaining thriller, but itâ€™s also a clever political statement.

The film exploits the partisan divide in America by depicting a political figure being hunted by her enemies. The protagonist is a female candidate running against an entrenched male politician, making the story relevant to the current political climate.

Lowery also uses the kidnapping plot to showcase Clareâ€™s strength as a character. Sheâ€™s resourceful and determined, and she never gives up on her quest to find her captors and free herself.

â€œThe Huntâ€ is an entertaining thriller, but it's also a clever political statement.

The film is well-written and well-directed, and Rebecca Ferguson is flawlessly convincing as the protagonist. Itâ€™s a film thatâ€™s easy to watch and will keep you entertained from beginning to end.",gpt3
53,"

Time's Up and other anti-sexual harassment initiatives released statements condemning Harvey Weinstein following his guilty plea to sexual assault and other charges.",gpt3
54,"

Lucas replaces Toksvig, who left to present her own BBC show, 'The Good Life'.

Lucas, who is best known for his roles in 'The IT Crowd' and 'Blackadder', said he was ""thrilled"" to take over from Toksvig.

He said: ""Sandi is a fabulous friend and I am thrilled to be taking over from her as The Great British Bake Off host. It's a huge show and I can't wait to get started.",gpt3
55,"

Kourtney Kardashian welcomed her first child with husband Scott Disick on Saturday, Jan. 8.

",gpt3
56,"

Kumail Nanjiani is a comedian, actor, and writer. He has been featured in the popular TV series ""Silicon Valley"" and ""The Big Sick."" Now, he's taken to social media to recreate some of the buff movie scenes that we all love.

In one post, Nanjiani recreated the scene from ""The Rock"" in which Dwayne Johnson performs an impressive body-building routine topless. In another, he copied the scene from ""Deadpool"" in which Ryan Reynolds does a deadly sword-fighting demonstration.

Nanjiani's posts are definitely a fun and satisfying way to show off his buff physique and remind us all that we still deserve nice things in life.",gpt3
57,"

One Amazing Thing is a documentary series that tells the stories of extraordinary people from all corners of the world. Each episode focuses on a different theme and explores the incredible things that people have done in pursuit of their dreams. If you're feeling overwhelmed by your worries, this show will provide you with a wealth of inspiration.

The Mindy Project is a sitcom about a 28-year-old woman who is trying to find her place in the world. Mindy isfocused and driven, but she also has a lot of anxiety and self-doubt. Watching her navigate her big life decisions and struggles will likely make you feel a little less anxious.

Narcos is an award-winning drama series about the DEA's efforts to take down one of the world's most powerful drug cartels. The show is intense and suspenseful, and it will make you feel like you're right in the middle of the battle.

Black Mirror is a dark and twisted anthology series that explores the potential consequences of technology and the human mind. Each episode is a self-contained story, and although most of them are entertaining and thought-provoking, some of them are downright disturbing. If you're looking for a show that will make you feel worried and scared, Black Mirror is perfect for you.",gpt3
